Away,Home,Spread,Total,OREB
Toronto Raptors,Charlotte Hornets,-20,220,16
Milwaukee Bucks,Washington Wizards,-12,268,21
Cleveland Cavaliers,Orlando Magic,-4,230,18
Miami Heat,Detroit Pistons,-13,223,11
Minnesota Timberwolves,Brooklyn Nets,-5,209,14
Denver Nuggets,Houston Rockets,21,227,33
Portland Trail Blazers,Memphis Grizzlies,10,228,21
Sacramento Kings,New Orleans Pelicans,-18,224,20
Boston Celtics,Philadelphia 76ers,2,204,19
Atlanta Hawks,Chicago Bulls,-18,228,13
Los Angeles Lakers,Utah Jazz,-2,268,18
Oklahoma City Thunder,Golden State Warriors,11,261,32
San Antonio Spurs,Phoenix Suns,21,209,24
Brooklyn Nets,Detroit Pistons,-15,231,20
New York Knicks,Indiana Pacers,-9,267,30
Washington Wizards,Atlanta Hawks,18,250,24
Toronto Raptors,Boston Celtics,4,190,24
Chicago Bulls,Milwaukee Bucks,13,197,18
Memphis Grizzlies,New Orleans Pelicans,7,269,23
Sacramento Kings,Dallas Mavericks,4,242,29
Los Angeles Lakers,Los Angeles Clippers,7,243,15
Cleveland Cavaliers,Orlando Magic,-24,212,18
Miami Heat,Philadelphia 76ers,-28,230,13
Portland Trail Blazers,San Antonio Spurs,2,256,26
Oklahoma City Thunder,Utah Jazz,-16,212,24
Denver Nuggets,Phoenix Suns,4,234,16
Houston Rockets,Charlotte Hornets,-3,221,21
Miami Heat,Washington Wizards,6,222,26
Detroit Pistons,Indiana Pacers,-7,237,19
Orlando Magic,Brooklyn Nets,17,185,25
Toronto Raptors,Boston Celtics,19,223,25
Philadelphia 76ers,Atlanta Hawks,-5,267,17
Memphis Grizzlies,Milwaukee Bucks,-23,251,22
New York Knicks,New Orleans Pelicans,8,218,11
Chicago Bulls,Dallas Mavericks,-3,227,15
Golden State Warriors,Sacramento Kings,-22,216,28
Phoenix Suns,Los Angeles Lakers,14,228,23
Denver Nuggets,Utah Jazz,4,232,22
Portland Trail Blazers,Los Angeles Clippers,-89,161,20
Minnesota Timberwolves,San Antonio Spurs,-20,282,21
Atlanta Hawks,Boston Celtics,6,234,28
Philadelphia 76ers,Brooklyn Nets,-29,239,23
Detroit Pistons,Chicago Bulls,22,184,26
Charlotte Hornets,Cleveland Cavaliers,-11,201,21
Orlando Magic,Miami Heat,13,233,20
Indiana Pacers,New York Knicks,-5,277,27
Milwaukee Bucks,Toronto Raptors,16,226,14
Houston Rockets,Washington Wizards,-5,223,26
San Antonio Spurs,Dallas Mavericks,-21,255,21
Sacramento Kings,Denver Nuggets,14,204,25
Utah Jazz,Los Angeles Lakers,11,245,17
New Orleans Pelicans,Minnesota Timberwolves,5,221,19
Memphis Grizzlies,Oklahoma City Thunder,15,215,19
Los Angeles Clippers,Phoenix Suns,-5,233,26
Golden State Warriors,Portland Trail Blazers,-56,258,15
